 ,TP_WR_P2118_NNO+0,TP_WR_P2119_NNO+0,TP_WR_P2120_NNO+0,TP_WR_P2121_NNO+0,TP_WR_P2129_NNO+0,TP_WR_P2130_NNO+0,TP_WR_P2275_NNO+0,TP_WR_P2278_NNO+0,TP_WR_P2280_NNO+0,TP_WR_P2282_NNO+0,TP_WR_P2285_NNO+0,TP_WR_P2293_NNO+0,TP_WR_P2294_NNO+0,TP_WR_P2295_NNO+0,TP_WR_P2296_NNO+0,TP_WR_P2141_NNO+0,TP_WR_P2226A_NNO+0,TP_WR_P2226B_NNO+0,TP_WR_P2226C_NNO+0,TP_WR_P2227_NNO+0,TP_WR_P2228_NNO+0,TP_WR_P2229_NNO+0,TP_WR_P2231_NNO+0,TP_WR_P2233_NNO+0,TP_WR_P2286_NNO+0,TP_WR_P2287_NNO+0,TP_WR_P2288_NNO+0,TP_WR_P2289_NNO+0,TP_WR_P2290_NNO+0,TP_WR_P2291_NNO+0,TP_WR_P2292_NNO+0,TP_WR_P2118_NNO+0.25,TP_WR_P2119_NNO+0.25,TP_WR_P2120_NNO+0.25,TP_WR_P2121_NNO+0.25,TP_WR_P2129_NNO+0.25,TP_WR_P2130_NNO+0.25,TP_WR_P2275_NNO+0.25,TP_WR_P2278_NNO+0.25,TP_WR_P2280_NNO+0.25,TP_WR_P2282_NNO+0.25,TP_WR_P2285_NNO+0.25,TP_WR_P2293_NNO+0.25,TP_WR_P2294_NNO+0.25,TP_WR_P2295_NNO+0.25,TP_WR_P2296_NNO+0.25,TP_WR_P2141_NNO+0.25,TP_WR_P2226A_NNO+0.25,TP_WR_P2226B_NNO+0.25,TP_WR_P2226C_NNO+0.25,TP_WR_P2227_NNO+0.25,TP_WR_P2228_NNO+0.25,TP_WR_P2229_NNO+0.25,TP_WR_P2231_NNO+0.25,TP_WR_P2233_NNO+0.25,TP_WR_P2286_NNO+0.25,TP_WR_P2287_NNO+0.25,TP_WR_P2288_NNO+0.25,TP_WR_P2289_NNO+0.25,TP_WR_P2290_NNO+0.25,TP_WR_P2291_NNO+0.25,TP_WR_P2292_NNO+0.25,TP_WR_P2118_NNO+0.5,TP_WR_P2119_NNO+0.5,TP_WR_P2120_NNO+0.5,TP_WR_P2121_NNO+0.5,TP_WR_P2129_NNO+0.5,TP_WR_P2130_NNO+0.5,TP_WR_P2275_NNO+0.5,TP_WR_P2278_NNO+0.5,TP_WR_P2280_NNO+0.5,TP_WR_P2282_NNO+0.5,TP_WR_P2285_NNO+0.5,TP_WR_P2293_NNO+0.5,TP_WR_P2294_NNO+0.5,TP_WR_P2295_NNO+0.5,TP_WR_P2296_NNO+0.5,TP_WR_P2141_NNO+0.5,TP_WR_P2226A_NNO+0.5,TP_WR_P2226B_NNO+0.5,TP_WR_P2226C_NNO+0.5,TP_WR_P2227_NNO+0.5,TP_WR_P2228_NNO+0.5,TP_WR_P2229_NNO+0.5,TP_WR_P2231_NNO+0.5,TP_WR_P2233_NNO+0.5,TP_WR_P2286_NNO+0.5,TP_WR_P2287_NNO+0.5,TP_WR_P2288_NNO+0.5,TP_WR_P2289_NNO+0.5,TP_WR_P2290_NNO+0.5,TP_WR_P2291_NNO+0.5,TP_WR_P2292_NNO+0.5,TP_WR_P2118_NNO+0.75,TP_WR_P2119_NNO+0.75,TP_WR_P2120_NNO+0.75,TP_WR_P2121_NNO+0.75,TP_WR_P2129_NNO+0.75,TP_WR_P2130_NNO+0.75,TP_WR_P2275_NNO+0.75,TP_WR_P2278_NNO+0.75,TP_WR_P2280_NNO+0.75,TP_WR_P2282_NNO+0.75,TP_WR_P2285_NNO+0.75,TP_WR_P2293_NNO+0.75,TP_WR_P2294_NNO+0.75,TP_WR_P2295_NNO+0.75,TP_WR_P2296_NNO+0.75,TP_WR_P2141_NNO+0.75,TP_WR_P2226A_NNO+0.75,TP_WR_P2226B_NNO+0.75,TP_WR_P2226C_NNO+0.75,TP_WR_P2227_NNO+0.75,TP_WR_P2228_NNO+0.75,TP_WR_P2229_NNO+0.75,TP_WR_P2231_NNO+0.75,TP_WR_P2233_NNO+0.75,TP_WR_P2286_NNO+0.75,TP_WR_P2287_NNO+0.75,TP_WR_P2288_NNO+0.75,TP_WR_P2289_NNO+0.75,TP_WR_P2290_NNO+0.75,TP_WR_P2291_NNO+0.75,TP_WR_P2292_NNO+0.75,TP_WR_P2118_NNO+1,TP_WR_P2119_NNO+1,TP_WR_P2120_NNO+1,TP_WR_P2121_NNO+1,TP_WR_P2129_NNO+1,TP_WR_P2130_NNO+1,TP_WR_P2275_NNO+1,TP_WR_P2278_NNO+1,TP_WR_P2280_NNO+1,TP_WR_P2282_NNO+1,TP_WR_P2285_NNO+1,TP_WR_P2293_NNO+1,TP_WR_P2294_NNO+1,TP_WR_P2295_NNO+1,TP_WR_P2296_NNO+1,TP_WR_P2141_NNO+1,TP_WR_P2226A_NNO+1,TP_WR_P2226B_NNO+1,TP_WR_P2226C_NNO+1,TP_WR_P2227_NNO+1,TP_WR_P2228_NNO+1,TP_WR_P2229_NNO+1,TP_WR_P2231_NNO+1,TP_WR_P2233_NNO+1,TP_WR_P2286_NNO+1,TP_WR_P2287_NNO+1,TP_WR_P2288_NNO+1,TP_WR_P2289_NNO+1,TP_WR_P2290_NNO+1,TP_WR_P2291_NNO+1,TP_WR_P2292_NNO+1
CaO,1.615,1.655,1.655,1.677,1.665,1.683,1.701,1.700,1.697,1.665,1.748,1.736,1.813,1.725,1.727,1.720,1.752,1.800,1.736,1.821,1.744,1.730,1.715,1.758,1.725,1.740,1.730,1.751,1.782,1.766,1.740,1.615,1.655,1.655,1.677,1.665,1.683,1.701,1.700,1.697,1.665,1.748,1.736,1.813,1.725,1.727,1.720,1.752,1.800,1.736,1.821,1.744,1.730,1.715,1.758,1.725,1.740,1.730,1.751,1.782,1.766,1.740,1.615,1.655,1.655,1.677,1.665,1.683,1.701,1.700,1.697,1.665,1.748,1.736,1.813,1.725,1.727,1.720,1.752,1.800,1.736,1.821,1.744,1.730,1.715,1.758,1.725,1.740,1.730,1.751,1.782,1.766,1.740,1.615,1.655,1.655,1.677,1.665,1.683,1.701,1.700,1.697,1.665,1.748,1.736,1.813,1.725,1.727,1.720,1.752,1.800,1.736,1.821,1.744,1.730,1.715,1.758,1.725,1.740,1.730,1.751,1.782,1.766,1.740,1.615,1.655,1.655,1.677,1.665,1.683,1.701,1.700,1.697,1.665,1.748,1.736,1.813,1.725,1.727,1.720,1.752,1.800,1.736,1.821,1.744,1.730,1.715,1.758,1.725,1.740,1.730,1.751,1.782,1.766,1.740
Na2O,4.483,4.535,4.455,4.561,4.525,4.635,4.633,4.644,4.675,4.614,4.579,4.628,4.588,4.580,4.605,4.595,4.565,4.629,4.627,4.550,4.515,4.551,4.550,4.591,4.558,4.592,4.618,4.624,4.585,4.532,4.615,4.483,4.535,4.455,4.561,4.525,4.635,4.633,4.644,4.675,4.614,4.579,4.628,4.588,4.580,4.605,4.595,4.565,4.629,4.627,4.550,4.515,4.551,4.550,4.591,4.558,4.592,4.618,4.624,4.585,4.532,4.615,4.483,4.535,4.455,4.561,4.525,4.635,4.633,4.644,4.675,4.614,4.579,4.628,4.588,4.580,4.605,4.595,4.565,4.629,4.627,4.550,4.515,4.551,4.550,4.591,4.558,4.592,4.618,4.624,4.585,4.532,4.615,4.483,4.535,4.455,4.561,4.525,4.635,4.633,4.644,4.675,4.614,4.579,4.628,4.588,4.580,4.605,4.595,4.565,4.629,4.627,4.550,4.515,4.551,4.550,4.591,4.558,4.592,4.618,4.624,4.585,4.532,4.615,4.483,4.535,4.455,4.561,4.525,4.635,4.633,4.644,4.675,4.614,4.579,4.628,4.588,4.580,4.605,4.595,4.565,4.629,4.627,4.550,4.515,4.551,4.550,4.591,4.558,4.592,4.618,4.624,4.585,4.532,4.615
K2O,2.785,2.827,2.797,2.819,2.793,2.792,2.783,2.793,2.783,2.778,2.738,2.764,2.743,2.778,2.773,2.774,2.745,2.728,2.764,2.737,2.758,2.762,2.774,2.760,2.835,2.803,2.805,2.812,2.800,2.794,2.807,2.785,2.827,2.797,2.819,2.793,2.792,2.783,2.793,2.783,2.778,2.738,2.764,2.743,2.778,2.773,2.774,2.745,2.728,2.764,2.737,2.758,2.762,2.774,2.760,2.835,2.803,2.805,2.812,2.800,2.794,2.807,2.785,2.827,2.797,2.819,2.793,2.792,2.783,2.793,2.783,2.778,2.738,2.764,2.743,2.778,2.773,2.774,2.745,2.728,2.764,2.737,2.758,2.762,2.774,2.760,2.835,2.803,2.805,2.812,2.800,2.794,2.807,2.785,2.827,2.797,2.819,2.793,2.792,2.783,2.793,2.783,2.778,2.738,2.764,2.743,2.778,2.773,2.774,2.745,2.728,2.764,2.737,2.758,2.762,2.774,2.760,2.835,2.803,2.805,2.812,2.800,2.794,2.807,2.785,2.827,2.797,2.819,2.793,2.792,2.783,2.793,2.783,2.778,2.738,2.764,2.743,2.778,2.773,2.774,2.745,2.728,2.764,2.737,2.758,2.762,2.774,2.760,2.835,2.803,2.805,2.812,2.800,2.794,2.807
P2O5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2O,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000,13.000
CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cl2O-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2O-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Model,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x,rhyolite-MELTS_v1.0.x
Calculation,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc,QF_P_Calc
T1,1100,1100,1100,1100,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00,1100.00
T2,700,700,700,700,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00,700.00
?T,1,1,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
T unit,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
P1,500,500,500,500,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00,500.00
P2,25,25,25,25,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
