,X,T
1677,0.387,618.9416666666667
1678,0.38716666666666666,619.0722222222222
1679,0.3875,619.2027777777778
1680,0.38766666666666666,619.3333333333334
1681,0.3878333333333333,619.463888888889
1682,0.388,619.5944444444444
1683,0.38816666666666666,619.725
1684,0.3885,619.8555555555556
1685,0.38866666666666666,619.9861111111111
1686,0.3888333333333333,620.1166666666667
1687,0.389,620.2472222222223
1688,0.38916666666666666,620.3777777777777
1689,0.3895,620.5083333333333
1690,0.38966666666666666,620.6388888888889
1691,0.3898333333333333,620.7694444444444
1692,0.39,620.9
1693,0.3903333333333333,621.0305555555556
1694,0.3905,621.1611111111112
1695,0.39066666666666666,621.2916666666667
1696,0.3908333333333333,621.4222222222222
1697,0.391,621.5527777777778
1698,0.3913333333333333,621.6833333333334
1699,0.3915,621.8138888888889
1700,0.39166666666666666,621.9444444444445
1701,0.3918333333333333,622.075
1702,0.39216666666666666,622.2055555555555
1703,0.3923333333333333,622.3361111111111
1704,0.39249999999999996,622.4666666666667
1705,0.39266666666666666,622.5972222222222
1706,0.3928333333333333,622.7277777777778
1707,0.39316666666666666,622.8583333333333
1708,0.3933333333333333,622.9888888888889
1709,0.39349999999999996,623.1194444444445
1710,0.39366666666666666,623.25
1711,0.3938333333333333,623.3805555555556
1712,0.39416666666666667,623.5111111111112
1713,0.3943333333333333,623.6416666666667
1714,0.39449999999999996,623.7722222222222
1715,0.39466666666666667,623.9027777777778
1716,0.39499999999999996,624.0333333333333
1717,0.39516666666666667,624.1638888888889
1718,0.3953333333333333,624.2944444444445
1719,0.39549999999999996,624.425
1720,0.3958333333333333,624.5555555555555
1721,0.39599999999999996,624.6861111111111
1722,0.39616666666666667,624.8166666666667
1723,0.3963333333333333,624.9472222222222
1724,0.39649999999999996,625.0777777777778
1725,0.3968333333333333,625.2083333333334
1726,0.39699999999999996,625.338888888889
1727,0.39716666666666667,625.4694444444444
1728,0.3973333333333333,625.6
1729,0.39766666666666667,625.7305555555556
1730,0.3978333333333333,625.8611111111111
1731,0.39799999999999996,625.9916666666667
1732,0.39816666666666667,626.1222222222223
1733,0.3983333333333333,626.2527777777777
1734,0.39866666666666667,626.3833333333333
1735,0.3988333333333333,626.5138888888889
1736,0.39899999999999997,626.6444444444444
1737,0.39916666666666667,626.775
1738,0.39949999999999997,626.9055555555556
1739,0.39966666666666667,627.0361111111112
1740,0.3998333333333333,627.1666666666667
1741,0.39999999999999997,627.2972222222222
1742,0.4003333333333333,627.4277777777778
1743,0.40049999999999997,627.5583333333334
1744,0.40066666666666667,627.6888888888889
1745,0.4008333333333333,627.8194444444445
1746,0.40099999999999997,627.95
1747,0.4013333333333333,628.0805555555555
1748,0.40149999999999997,628.2111111111111
1749,0.40166666666666667,628.3416666666667
1750,0.4018333333333333,628.4722222222222
1751,0.4021666666666667,628.6027777777778
1752,0.4023333333333333,628.7333333333333
1753,0.40249999999999997,628.8638888888889
1754,0.4026666666666667,628.9944444444445
1755,0.40299999999999997,629.125
1756,0.4031666666666667,629.2555555555556
1757,0.4033333333333333,629.3861111111112
1758,0.40349999999999997,629.5166666666667
1759,0.4038333333333333,629.6472222222222
1760,0.40399999999999997,629.7777777777778
1761,0.4041666666666667,629.9083333333333
1762,0.4043333333333333,630.0388888888889
1763,0.4046666666666667,630.1694444444445
1764,0.4048333333333333,630.3
1765,0.40499999999999997,630.4305555555555
1766,0.4051666666666667,630.5611111111111
1767,0.4053333333333333,630.6916666666667
1768,0.4056666666666667,630.8222222222222
1769,0.4058333333333333,630.9527777777778
1770,0.40599999999999997,631.0833333333334
1771,0.4061666666666667,631.213888888889
1772,0.4065,631.3444444444444
1773,0.4066666666666667,631.475
1774,0.4068333333333333,631.6055555555556
1775,0.407,631.7361111111111
1776,0.4073333333333333,631.8666666666667
1777,0.4075,631.9972222222223
1778,0.4076666666666667,632.1277777777777
